# filename	lang	rate	text
lesson-05-tips-cn.m4a	zh	155	Where is 连起来说，中间不要停。Under 的重音在第一个音节。Isn't 是 is not 的缩写。
lesson-05-tips-en.m4a	en	125	Where is? under. isn't. Where is my teddy bear? Look under the chair. No, it isn't.
lesson-05-slow.m4a	en	105	Where is my teddy bear? Is it on the sofa? No, it isn't. Look under the chair. There it is! Thank you for helping me.
lesson-05-normal.m4a	en	175	Where is my teddy bear? Is it on the sofa? No, it isn't. Look under the chair. There it is! Thank you for helping me.
lesson-05-fast.m4a	en	230	Where is my teddy bear? Is it on the sofa? No, it isn't. Look under the chair. There it is! Thank you for helping me.
lesson-06-chinese.m4a	zh	165	第六课是在放学回家以后。我们学会问对方感觉怎么样，也学会说自己累了、饿了或很开心。
lesson-06-tips-cn.m4a	zh	155	How do you 在自然语速里会连起来。Tired 通常读成一个音节。A little 表示一点点。
lesson-06-tips-en.m4a	en	125	How do you feel? tired. a little. I'm a little tired. Do you want to rest?
lesson-06-slow.m4a	en	105	How do you feel? I'm a little tired. Do you want to rest? Yes, please. I'll get you some water. Thanks, Dad.
lesson-06-normal.m4a	en	175	How do you feel? I'm a little tired. Do you want to rest? Yes, please. I'll get you some water. Thanks, Dad.
lesson-06-fast.m4a	en	230	How do you feel? I'm a little tired. Do you want to rest? Yes, please. I'll get you some water. Thanks, Dad.
lesson-07-chinese.m4a	zh	165	第七课来到教室，认识一位新同学。我们要会说自己的名字，问别人叫什么，并说很高兴认识你。
lesson-07-tips-cn.m4a	zh	155	I'm 是 I am 的缩写。Name 中间的音像字母 A 的名字。Meet 中间的音要稍微拉长。
lesson-07-tips-en.m4a	en	125	I'm Mia. name. meet. What's your name? Nice to meet you.
lesson-07-slow.m4a	en	105	Hi! I'm Ben. Hi, Ben. I'm Mia. What's your name? My name is Mia. Nice to meet you. Nice to meet you, too.
lesson-07-normal.m4a	en	175	Hi! I'm Ben. Hi, Ben. I'm Mia. What's your name? My name is Mia. Nice to meet you. Nice to meet you, too.
lesson-07-fast.m4a	en	230	Hi! I'm Ben. Hi, Ben. I'm Mia. What's your name? My name is Mia. Nice to meet you. Nice to meet you, too.
lesson-08-chinese.m4a	zh	165	第八课练习向同桌借文具。May I borrow 是非常实用的礼貌问法，借到以后要说谢谢。
lesson-08-tips-cn.m4a	zh	155	May I 连起来说会更自然。Borrow 的重音在第一个音节。Pencil 也是前重后轻。
lesson-08-tips-en.m4a	en	125	May I? borrow. pencil. May I borrow a pencil? Here you are.
lesson-08-slow.m4a	en	105	May I borrow a pencil? Sure. Here you are. Thank you. You're welcome. Here is your pencil. Thanks!
lesson-08-normal.m4a	en	175	May I borrow a pencil? Sure. Here you are. Thank you. You're welcome. Here is your pencil. Thanks!
lesson-08-fast.m4a	en	230	May I borrow a pencil? Sure. Here you are. Thank you. You're welcome. Here is your pencil. Thanks!
lesson-09-chinese.m4a	zh	165	第九课教孩子在课堂上真正有用的一句话。听不懂时不要沉默，可以礼貌地请老师再说一次。
lesson-09-tips-cn.m4a	zh	155	I don't understand 里，don't 和 stand 更清楚。Understand 的重音在最后。Again 的第二个音节更重。
lesson-09-tips-en.m4a	en	125	I don't understand. understand. again. Can you say it again, please?
lesson-09-slow.m4a	en	105	Open your book, please. Sorry, I don't understand. That's okay. Can you say it again, please? Open your book. Oh, I understand now.
lesson-09-normal.m4a	en	175	Open your book, please. Sorry, I don't understand. That's okay. Can you say it again, please? Open your book. Oh, I understand now.
lesson-09-fast.m4a	en	230	Open your book, please. Sorry, I don't understand. That's okay. Can you say it again, please? Open your book. Oh, I understand now.
lesson-10-chinese.m4a	zh	165	第十课发生在课间。我们练习怎样礼貌加入同学的游戏，以及怎样说轮到你、轮到我。
lesson-10-tips-cn.m4a	zh	155	With 的结尾，舌尖轻放在牙齿之间并让声带振动。Your turn 里 turn 读得更重。问句末尾语调可以稍微上扬。
lesson-10-tips-en.m4a	en	125	with you. your turn. It's your turn. Can I play with you?
lesson-10-slow.m4a	en	105	Can I play with you? Sure! Come and play. What are you playing? We are playing catch. It's your turn. Great! Here I go!
lesson-10-normal.m4a	en	175	Can I play with you? Sure! Come and play. What are you playing? We are playing catch. It's your turn. Great! Here I go!
lesson-10-fast.m4a	en	230	Can I play with you? Sure! Come and play. What are you playing? We are playing catch. It's your turn. Great! Here I go!
lesson-11-chinese.m4a	zh	165	第十一课是在学校吃午餐。我们要会说自己带了什么，也可以问同学喜不喜欢某种食物。
lesson-11-tips-cn.m4a	zh	155	What do you 在自然语速中会连起来。Rice 结尾直接停在 s。And 在句子中可以读轻一点。
lesson-11-tips-en.m4a	en	125	What do you have for lunch? rice. and. rice and chicken.
lesson-11-slow.m4a	en	105	What do you have for lunch? I have rice and chicken. What about you? I have a sandwich and an apple. Do you like apples? Yes, I do!
lesson-11-normal.m4a	en	175	What do you have for lunch? I have rice and chicken. What about you? I have a sandwich and an apple. Do you like apples? Yes, I do!
lesson-11-fast.m4a	en	230	What do you have for lunch? I have rice and chicken. What about you? I have a sandwich and an apple. Do you like apples? Yes, I do!
lesson-12-chinese.m4a	zh	165	最后一课把学校生活带回家。我们练习回答今天怎么样、学到了什么，以及最喜欢哪一部分。
lesson-12-tips-cn.m4a	zh	155	How was 连起来时，was 可以读轻一点。Learned 结尾要保留轻轻的 d。Favorite 的重音在第一个音节。
lesson-12-tips-en.m4a	en	125	How was school today? learned. I learned about animals. favorite. Art class was my favorite.
lesson-12-slow.m4a	en	105	How was school today? It was great! What did you learn? I learned about animals. What was your favorite part? Art class was my favorite.
lesson-12-normal.m4a	en	175	How was school today? It was great! What did you learn? I learned about animals. What was your favorite part? Art class was my favorite.
lesson-12-fast.m4a	en	230	How was school today? It was great! What did you learn? I learned about animals. What was your favorite part? Art class was my favorite.
